Player,ID,Team,Opponent,Round,Kicks,Marks,Hand Balls,Disp,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50,Clearances,Clangers,Frees For,Frees Against,Brownlow,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists,% Time Played,Year
David Astbury,11828,RI,CA,1,9,3,5,14,0,0,0,2,6,0,0,3,1,2,0,5,8,0,0,5,0,0,98,2020
Liam Baker,12661,RI,CA,1,6,2,10,16,0,0,0,1,4,0,1,2,1,1,0,10,6,0,0,4,0,0,82,2020
Shai Bolton,12535,RI,CA,1,11,6,2,13,3,1,0,2,1,3,1,2,1,0,0,3,10,0,2,1,2,1,85,2020
Nathan Broad,12456,RI,CA,1,8,4,1,9,0,0,0,1,4,0,0,2,0,2,0,1,7,0,0,6,0,0,94,2020
Josh Caddy,12010,RI,CA,1,10,5,5,15,0,0,0,3,1,5,2,3,0,0,0,2,11,1,0,1,0,2,94,2020
Jason Castagna,12431,RI,CA,1,5,1,3,8,3,0,0,3,1,3,0,0,0,0,0,0,8,0,0,2,0,0,90,2020
Trent Cotchin,11666,RI,CA,1,11,3,8,19,0,2,0,2,4,5,3,6,1,2,0,9,11,1,0,1,0,0,80,2020
Shane Edwards,11557,RI,CA,1,7,1,8,15,1,0,0,2,0,6,5,2,1,1,0,6,10,0,0,2,0,2,90,2020
Jack Graham,12576,RI,CA,1,2,0,6,8,0,0,0,1,0,0,1,0,1,0,0,4,4,0,0,0,0,0,87,2020
Dylan Grimes,11879,RI,CA,1,5,5,2,7,0,0,0,2,4,0,0,4,0,2,0,2,4,1,0,3,0,0,97,2020
Kane Lambert,12333,RI,CA,1,6,3,8,14,1,1,0,2,2,0,4,1,1,0,0,6,10,0,1,2,0,1,82,2020
Tom Lynch,11948,RI,CA,1,4,0,5,9,0,1,0,1,0,1,0,2,1,2,0,6,3,0,0,1,0,0,91,2020
Dustin Martin,11794,RI,CA,1,12,3,12,24,1,1,0,4,0,4,3,3,1,1,2,8,12,1,1,3,1,2,93,2020
Toby Nankervis,12374,RI,CA,1,1,1,6,7,0,0,16,1,0,1,1,4,1,3,0,4,3,0,0,1,0,0,46,2020
Marlion Pickett,12761,RI,CA,1,8,1,6,14,0,0,0,5,1,5,2,1,1,0,0,6,8,0,1,3,0,1,73,2020
Dion Prestia,11917,RI,CA,1,11,2,14,25,1,0,0,5,2,9,3,4,2,2,3,7,19,0,0,1,0,2,79,2020
Jack Riewoldt,11576,RI,CA,1,5,5,1,6,3,1,0,2,0,1,0,6,0,3,0,3,3,3,5,2,0,1,97,2020
Daniel Rioli,12403,RI,CA,1,8,3,4,12,3,0,0,3,0,1,0,1,1,1,0,5,6,0,1,1,2,0,81,2020
Jayden Short,12418,RI,CA,1,13,5,2,15,0,0,0,2,4,1,0,0,0,0,0,3,11,1,0,1,0,0,79,2020
Ivan Soldo,12529,RI,CA,1,4,2,6,10,0,1,25,3,2,1,5,0,3,0,0,9,3,0,1,3,0,0,58,2020
Sydney Stack,12708,RI,CA,1,3,0,7,10,0,0,0,2,0,2,0,4,1,2,0,6,5,0,0,1,0,0,73,2020
Nick Vlastuin,12174,RI,CA,1,6,2,1,7,0,0,0,3,5,0,0,0,0,0,0,4,2,2,0,4,0,0,50,2020
Levi Casboult,12114,CA,RI,1,11,4,6,17,2,0,16,0,0,2,2,3,3,1,0,7,9,1,0,2,0,0,86,2020
Patrick Cripps,12261,CA,RI,1,15,3,16,31,0,0,0,2,1,7,10,6,1,1,0,17,15,0,0,3,0,0,92,2020
David Cuningham,12476,CA,RI,1,7,3,1,8,2,1,0,1,0,2,0,1,1,0,0,2,5,1,0,1,0,1,89,2020
Ed Curnow,11883,CA,RI,1,10,2,6,16,0,0,0,3,0,4,4,6,1,3,0,7,8,1,0,1,0,0,86,2020
Sam Docherty,12170,CA,RI,1,17,7,9,26,0,0,0,1,9,4,0,1,1,0,0,8,17,0,0,4,0,0,86,2020
Paddy Dow,12582,CA,RI,1,4,3,3,7,0,2,0,2,1,1,0,1,1,0,0,2,5,0,2,0,0,1,76,2020
Zac Fisher,12520,CA,RI,1,10,3,7,17,0,0,0,0,0,5,3,0,1,0,0,8,9,0,0,2,0,0,76,2020
Michael Gibbons,12685,CA,RI,1,3,1,4,7,0,0,0,0,0,1,0,0,0,0,0,2,6,0,1,0,0,0,83,2020
Liam Jones,11866,CA,RI,1,5,4,4,9,0,1,0,0,1,1,0,0,1,0,0,4,4,1,0,6,0,0,97,2020
Matthew Kreuzer,11645,CA,RI,1,0,1,1,1,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,21,2020
Jack Martin,12236,CA,RI,1,11,6,6,17,4,1,0,1,0,2,0,4,3,3,1,7,10,0,3,4,0,1,90,2020
Mitch McGovern,12404,CA,RI,1,4,4,3,7,1,1,3,2,0,1,0,1,0,1,0,4,3,2,3,2,0,1,77,2020
Marc Murphy,4148,CA,RI,1,12,8,14,26,0,0,0,0,0,6,5,7,2,4,0,11,18,0,2,2,0,1,87,2020
Nic Newman,12508,CA,RI,1,11,2,2,13,0,0,0,2,3,0,0,4,1,1,0,1,9,0,0,0,0,0,71,2020
Jack Newnes,12050,CA,RI,1,9,2,3,12,1,0,0,1,1,4,0,4,0,1,0,2,10,0,0,0,0,0,79,2020
Sam Petrevski-Seton,12487,CA,RI,1,11,0,8,19,0,0,0,2,1,2,3,0,2,0,0,11,8,0,0,1,0,0,84,2020
Lachie Plowman,12142,CA,RI,1,5,1,2,7,0,1,0,0,2,2,0,1,1,0,0,2,5,0,0,2,0,0,85,2020
Will Setterfield,12567,CA,RI,1,4,1,2,6,0,0,0,2,0,2,1,2,0,1,0,3,2,0,0,1,0,0,83,2020
Jack Silvagni,12458,CA,RI,1,4,1,2,6,2,1,0,0,0,0,0,0,2,0,0,5,2,1,1,1,0,0,87,2020
Kade Simpson,1456,CA,RI,1,13,6,7,20,0,0,0,0,6,0,2,3,1,0,0,6,11,0,0,0,0,0,88,2020
Sam Walsh,12684,CA,RI,1,12,5,7,19,0,0,0,0,0,6,2,3,0,0,0,8,11,0,0,0,0,0,81,2020
Jacob Weitering,12402,CA,RI,1,11,2,1,12,0,0,0,3,4,2,0,4,2,2,0,9,5,0,0,10,0,0,96,2020
Taylor Adams,12066,CW,WB,1,16,3,10,26,1,0,0,5,1,2,12,4,2,0,0,14,11,0,1,2,1,0,85,2020
Callum Brown,12545,CW,WB,1,6,1,8,14,1,0,0,3,1,2,1,1,0,0,0,4,10,0,0,2,0,1,76,2020
Tyler Brown,12763,CW,WB,1,4,0,11,15,0,0,0,3,0,1,1,2,0,0,0,7,9,0,0,1,0,1,71,2020
Mason Cox,12428,CW,WB,1,5,4,4,9,2,0,8,0,0,0,0,1,2,0,0,5,3,2,1,1,0,0,79,2020
Jack Crisp,12061,CW,WB,1,12,7,3,15,0,1,0,0,1,6,0,4,1,2,0,2,13,0,0,2,0,1,79,2020
Josh Daicos,12573,CW,WB,1,7,3,7,14,2,0,0,5,1,1,1,4,0,2,0,4,10,0,0,1,0,0,88,2020
Jordan de Goey,12318,CW,WB,1,9,4,5,14,1,2,0,1,0,6,4,2,0,0,0,5,9,0,2,1,0,0,84,2020
Jamie Elliott,12083,CW,WB,1,9,3,4,13,1,1,0,1,0,4,1,4,0,0,0,3,10,0,2,2,0,0,67,2020
Brodie Grundy,12217,CW,WB,1,8,3,11,19,1,3,35,3,0,5,4,3,4,1,3,13,8,2,2,2,0,2,82,2020
Will Hoskin-Elliott,12026,CW,WB,1,9,6,6,15,1,0,0,2,0,1,2,0,2,0,0,6,9,0,0,1,0,0,84,2020
Jeremy Howe,11967,CW,WB,1,16,9,9,25,0,0,0,4,4,1,0,2,1,0,0,11,14,3,0,0,1,0,96,2020
Jack Madgen,12665,CW,WB,1,4,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,77,2020
Brayden Maynard,12371,CW,WB,1,15,6,4,19,0,0,0,2,3,2,1,1,0,1,0,4,12,0,0,2,0,0,86,2020
Chris Mayne,11642,CW,WB,1,13,7,16,29,0,0,0,0,1,1,0,3,2,0,0,8,20,0,0,2,0,0,85,2020
Brody Mihocek,12639,CW,WB,1,9,8,2,11,3,0,0,3,0,4,0,1,0,1,2,3,8,2,4,1,0,1,82,2020
Darcy Moore,12372,CW,WB,1,7,6,4,11,0,0,0,0,1,0,0,1,0,1,0,4,7,1,0,1,0,0,97,2020
John Noble,12743,CW,WB,1,8,4,11,19,0,0,0,3,0,1,0,4,0,1,0,4,15,0,0,0,0,0,71,2020
Scott Pendlebury,4182,CW,WB,1,13,4,12,25,0,0,0,4,1,2,3,2,2,1,0,7,17,0,0,3,0,0,83,2020
Tom Phillips,12452,CW,WB,1,5,0,7,12,0,0,0,3,1,2,1,3,3,1,0,6,6,0,0,0,0,1,84,2020
Jordan Roughead,11833,CW,WB,1,3,2,2,5,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,3,0,0,93,2020
Steele Sidebottom,11751,CW,WB,1,11,9,15,26,0,1,0,4,2,1,2,3,0,0,1,7,21,0,1,2,0,1,77,2020
Josh Thomas,12144,CW,WB,1,2,2,9,11,0,0,0,2,0,0,1,2,0,1,0,5,7,0,1,1,0,1,74,2020
Marcus Bontempelli,12269,WB,CW,1,5,0,10,15,0,0,0,6,1,2,2,7,1,3,0,7,9,0,0,4,0,0,82,2020
Josh Bruce,12065,WB,CW,1,2,1,4,6,1,0,2,2,0,0,2,1,0,0,0,2,4,0,1,2,0,0,90,2020
Ben Cavarra,12764,WB,CW,1,2,1,1,3,1,1,0,1,1,1,1,0,1,0,0,2,1,0,0,1,0,0,72,2020
Zaine Cordy,12392,WB,CW,1,9,2,0,9,0,0,0,0,5,0,0,0,0,0,0,2,4,0,0,7,1,0,94,2020
Hayden Crozier,12088,WB,CW,1,12,4,5,17,0,0,0,7,3,1,1,3,2,2,0,7,10,0,0,5,0,0,84,2020
Bailey Dale,12354,WB,CW,1,1,1,5,6,0,0,0,0,0,0,0,2,0,1,0,2,4,0,0,0,0,0,76,2020
Caleb Daniel,12373,WB,CW,1,10,3,10,20,0,0,0,1,2,3,1,1,0,0,0,8,11,0,0,2,0,0,78,2020
Josh Dunkley,12408,WB,CW,1,9,2,10,19,0,0,0,2,2,1,2,2,0,0,0,8,11,0,0,2,0,0,81,2020
Tim English,12537,WB,CW,1,9,4,1,10,0,1,12,0,0,1,1,0,3,0,0,4,6,2,0,5,0,0,78,2020
Ryan Gardner,12732,WB,CW,1,8,5,3,11,0,0,0,1,0,0,0,2,0,0,0,0,10,0,0,8,0,0,97,2020
Lachie Hunter,12203,WB,CW,1,13,5,9,22,0,0,0,1,2,1,1,5,1,2,0,5,17,0,0,1,1,0,85,2020
Jason Johannisen,12122,WB,CW,1,11,4,5,16,0,0,0,0,0,0,2,1,0,0,0,4,13,0,0,1,0,1,82,2020
Alex Keath,12560,WB,CW,1,13,9,2,15,0,0,0,1,2,1,1,2,0,1,0,5,10,3,0,3,0,0,85,2020
Sam Lloyd,12263,WB,CW,1,6,4,2,8,0,1,0,5,0,1,0,1,2,0,0,2,6,0,0,0,0,0,83,2020
Jack Macrae,12166,WB,CW,1,11,5,11,22,0,0,0,5,2,3,4,2,1,1,0,11,10,0,0,1,0,0,82,2020
Aaron Naughton,12594,WB,CW,1,1,0,1,2,0,0,0,1,0,0,0,2,0,1,0,1,2,0,0,2,0,0,81,2020
Bailey Smith,12692,WB,CW,1,9,5,14,23,0,0,0,7,1,2,2,3,0,1,0,6,18,0,0,0,1,0,79,2020
