player,player_id,team,opponent,round,kicks,marks,handballs,disp,goals,behinds,hit_outs,tackles,rebounds,inside_50,clearances,clangers,frees_for,frees_against,brownlow,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists,pct_time_played,year,game_id,game_type,day,home_team,away_team,venue,home_goals,home_behinds,home_total,away_goals,away_behinds,away_total,date,home_team_code,away_team_code
DAVID ASTBURY,11828,RI,CA,1,9,7,7,16,0,0,0,2,5,0,1,2,1,1,0,9,8,3,0,4,0,0,100,2018,15201,HA,Thursday,RICHMOND,CARLTON,M.C.G.,17,19,121,15,5,95,2018-03-22,RI,CA
SHAI BOLTON,12535,RI,CA,1,3,2,3,6,0,0,1,0,0,1,1,3,0,3,0,3,3,0,0,1,0,0,77,2018,15201,HA,Thursday,RICHMOND,CARLTON,M.C.G.,17,19,121,15,5,95,2018-03-22,RI,CA
DAN BUTLER,12490,RI,CA,1,10,2,3,13,3,0,0,7,0,6,0,3,3,1,0,7,6,0,1,1,2,2,76,2018,15201,HA,Thursday,RICHMOND,CARLTON,M.C.G.,17,19,121,15,5,95,2018-03-22,RI,CA
JOSH CADDY,12010,RI,CA,1,13,5,6,19,3,2,0,2,0,8,4,2,5,0,0,11,10,1,2,0,1,0,80,2018,15201,HA,Thursday,RICHMOND,CARLTON,M.C.G.,17,19,121,15,5,95,2018-03-22,RI,CA
JASON CASTAGNA,12431,RI,CA,1,7,4,8,15,2,1,0,4,0,3,3,0,1,0,0,7,8,0,2,2,0,1,76,2018,15201,HA,Thursday,RICHMOND,CARLTON,M.C.G.,17,19,121,15,5,95,2018-03-22,RI,CA
REECE CONCA,11888,RI,CA,1,9,0,7,16,0,0,0,7,2,6,2,7,0,2,0,6,10,0,0,1,1,0,77,2018,15201,HA,Thursday,RICHMOND,CARLTON,M.C.G.,17,19,121,15,5,95,2018-03-22,RI,CA
TRENT COTCHIN,11666,RI,CA,1,14,2,10,24,0,0,0,4,0,5,7,2,2,0,0,13,12,0,1,1,0,2,81,2018,15201,HA,Thursday,RICHMOND,CARLTON,M.C.G.,17,19,121,15,5,95,2018-03-22,RI,CA
SHANE EDWARDS,11557,RI,CA,1,5,3,11,16,0,0,0,4,3,4,2,1,0,0,0,9,7,1,0,2,0,0,75,2018,15201,HA,Thursday,RICHMOND,CARLTON,M.C.G.,17,19,121,15,5,95,2018-03-22,RI,CA
BRANDON ELLIS,12034,RI,CA,1,11,3,7,18,0,1,0,3,2,4,0,5,0,0,0,3,14,0,0,0,2,0,79,2018,15201,HA,Thursday,RICHMOND,CARLTON,M.C.G.,17,19,121,15,5,95,2018-03-22,RI,CA
COREY ELLIS,12346,RI,CA,1,6,2,6,12,0,0,0,4,1,1,1,2,0,0,0,7,6,0,0,5,1,1,72,2018,15201,HA,Thursday,RICHMOND,CARLTON,M.C.G.,17,19,121,15,5,95,2018-03-22,RI,CA
