year,round,date,player_first_name,player_last_name,player_team,player_position,score_involvements,metres_gained,intercepts,pressure_acts,turnovers,centre_clearances,ground_ball_gets,tackles_inside_fifty,disposal_efficiency_percentage,effective_disposals
2018,1.0,2018-03-22,Kade,Simpson,Carlton,BPL,8,903,9,12,6,0,8,0,86,30
2018,1.0,2018-03-22,Marc,Murphy,Carlton,WR,6,370,1,21,7,2,4,0,70,16
2018,1.0,2018-03-22,Dale,Thomas,Carlton,HBFL,0,262,5,13,3,0,8,0,71,17
2018,1.0,2018-03-22,Shane,Edwards,Richmond,INT,5,270,6,20,4,0,7,0,88,14
2018,1.0,2018-03-22,Jack,Riewoldt,Richmond,FPL,13,322,1,6,3,0,3,0,67,12
2018,1.0,2018-03-22,Shaun,Grigg,Richmond,WL,7,197,1,11,3,0,2,0,71,12
2018,1.0,2018-03-22,Matthew,Kreuzer,Carlton,RK,4,126,2,14,2,1,6,0,59,10
2018,1.0,2018-03-22,Trent,Cotchin,Richmond,WR,10,293,3,26,5,2,8,1,63,15
2018,1.0,2018-03-22,Alex,Rance,Richmond,BPL,4,327,10,3,4,0,5,0,80,12
2018,1.0,2018-03-22,Dustin,Martin,Richmond,R,13,567,2,10,5,4,10,0,72,23
2018,1.0,2018-03-22,David,Astbury,Richmond,FB,7,330,8,12,2,0,5,0,94,15
2018,1.0,2018-03-22,Liam,Jones,Carlton,FB,2,100,8,10,2,0,5,0,70,7
2018,1.0,2018-03-22,Dylan,Grimes,Richmond,BPR,0,118,5,13,3,0,2,0,50,3
2018,1.0,2018-03-22,Ed,Curnow,Carlton,HFFR,6,438,0,17,5,1,9,0,72,21
2018,1.0,2018-03-22,Reece,Conca,Richmond,C,5,334,4,16,5,1,6,1,63,10
2018,1.0,2018-03-22,Matthew,Wright,Carlton,FPL,7,198,0,10,2,1,3,2,73,8
2018,1.0,2018-03-22,Aaron,Mullett,Carlton,WL,3,268,5,12,3,0,5,0,81,13
2018,1.0,2018-03-22,Josh,Caddy,Richmond,FF,6,424,1,20,2,3,5,0,74,14
2018,1.0,2018-03-22,Jacob,Townsend,Richmond,HFFR,7,166,0,10,2,0,4,1,67,6
2018,1.0,2018-03-22,Brandon,Ellis,Richmond,HBFR,6,417,5,13,5,0,3,0,72,13
2018,1.0,2018-03-22,Levi,Casboult,Carlton,CHF,3,233,1,13,2,0,1,0,80,8
2018,1.0,2018-03-22,Lachie,Plowman,Carlton,HBFR,1,165,4,14,3,0,2,0,92,12
2018,1.0,2018-03-22,Nick,Vlastuin,Richmond,HBFL,4,257,6,15,1,0,2,0,67,8
