year,player,votes
2023,Lachie Neale,31
2023,Marcus Bontempelli,29
2023,Nick Daicos,28
2023,Zak Butters,27
2023,Errol Gulden,27
2023,Christian Petracca,26
2023,Jack Viney,24
2023,Caleb Serong,24
2023,Noah Anderson,22
2023,Patrick Cripps,22
2023,Jack Sinclair,21
2023,Connor Rozee,21
2023,Toby Greene,20
2023,Jordan Dawson,20
2023,Rory Laird,20
2023,Tim Taranto,19
2023,Jai Newcombe,18
2023,Brad Crouch,18
2023,Charlie Curnow,17
2023,Zach Merrett,17
2023,Tom Liberatore,17
2023,Taylor Walker,16
2023,Jason Horne-Francis,16
2023,Tom Green,16
2023,Chad Warner,16
2023,Darcy Parish,15
2023,Jack Steele,15
2023,Shai Bolton,14
2023,Luke Davies-Uniacke,13
2023,Jeremy Cameron,13
2023,Tom Mitchell,12
2023,James Sicily,12
2023,Matt Rowell,12
2023,Patrick Dangerfield,12
2023,Joe Daniher,12
2023,Tim English,11
2023,James Worpel,11
2023,Tim Kelly,11
2023,Nic Martin,10
2023,Will Ashcroft,10
2023,Stephen Coniglio,10
2023,Luke Parker,10
2023,Andrew Brayshaw,10
2023,Harris Andrews,8
2023,Jordan de Goey,8
2023,Dustin Martin,8
2023,Will Day,8
2023,Charlie Cameron,8
2023,Jack Lukosius,8
2023,Josh Daicos,8
2023,Josh Kelly,8
2023,Dan Houston,7
2023,Tom Hawkins,7
2023,Izak Rankine,7
2023,Nick Larkey,7
2023,Max Gawn,7
2023,Ben King,7
2023,Sam Docherty,7
2023,Dom Sheed,6
2023,Lachie Schultz,6
2023,Tom Stewart,6
2023,Jacob Weitering,6
2023,Dion Prestia,6
2023,Jeremy Finlayson,6
2023,Clayton Oliver,6
2023,Noah Balta,6
2023,Luke Ryan,6
2023,Luke Jackson,6
2023,Scott Pendlebury,6
2023,Tarryn Thomas,5
2023,Jamie Elliott,5
2023,Max King,5
2023,Taylor Adams,5
2023,Brody Mihocek,5
2023,Sam Walsh,5
2023,Zac Bailey,5
2023,Nick Blakey,5
2023,Jamarra Ugle-Hagan,5
2023,Hayden Young,5
2023,George Hewett,5
2023,Daniel Rioli,5
2023,Lachie Whitfield,5
2023,Angus Brayshaw,4
2023,Bailey Scott,4
2023,Bailey Smith,4
2023,Josh Dunkley,4
2023,Tom Papley,4
2023,Joel Amartey,4
2023,Nasiah Wanganeen-Milera,4
2023,Adam Treloar,4
2023,Bayley Fritsch,4
2023,Jamie Cripps,3
2023,Jesse Hogan,3
2023,Hugh McCluggage,3
2023,Nic Newman,3
2023,Touk Miller,3
2023,Alex Pearce,3
2023,Sam Taylor,3
2023,Steven May,3
2023,Jack Gunston,3
2023,Liam Henry,3
2023,Mason Cox,3
2023,Brad Close,3
2023,Andrew Phillips,3
2023,Jamaine Jones,3
2023,Adam Saad,3
2023,Callum Mills,3
2023,Lachie Hunter,3
2023,Blake Acres,3
2023,Aliir Aliir,3
2023,Callan Ward,3
2023,Bailey Dale,3
2023,Reilly OBrien,3
2023,Darcy Fogarty,3
2023,Jake Stringer,3
2023,Liam Baker,3
2023,Jack Higgins,3
2023,Kyle Langford,3
2023,Steele Sidebottom,3
2023,Charlie Dixon,3
2023,Darcy Moore,3
2023,Keidean Coleman,3
2023,Rowan Marshall,3
2023,Mark Blicavs,3
2023,Harry Sheezel,3
2023,Jack Crisp,2
2023,Jake Melksham,2
2023,Gryan Miers,2
2023,Harry Petty,2
2023,Jack Silvagni,2
2023,Tyson Stengle,2
2023,Isaac Quaynor,2
2023,Luke Shuey,2
2023,Brayden Fiorini,2
2023,Isaac Heeney,2
2023,Cody Weightman,2
2023,Trent Cotchin,2
2023,Jake Riccardi,2
2023,Peter Wright,2
2023,Cameron Zurhaar,2
2023,Caleb Daniel,2
2023,Ben Keays,2
2023,Jack Ziebell,2
2023,Kade Chandler,2
2023,Aaron Naughton,2
2023,Jacob van Rooyen,2
2023,Cam Rayner,2
2023,Sean Darcy,2
2023,Mitch Duncan,2
2023,Callum Wilkie,2
2023,Riley Thilthorpe,2
2023,Sam Frost,2
2023,Jake Waterman,2
2023,Andrew McGrath,2
2023,Kysaiah Pickett,2
2023,Karl Amon,2
2023,Oliver Henry,2
2023,Adam Cerra,2
2023,Sam Powell-Pepper,2
2023,George Wardlaw,2
2023,Rory Sloane,2
2023,Jye Caldwell,2
2023,Harry McKay,2
2023,Lachie Weller,2
2023,Rory Lobb,1
2023,Will Phillips,1
2023,Jack Ginnivan,1
2023,Will Hayward,1
2023,Jarrod Berry,1
2023,Hayden McLean,1
2023,Bailey Williams,1
2023,Luke Breust,1
2023,Tom Atkins,1
2023,Jack Martin,1
2023,Sam Flanders,1
2023,John Noble,1
2023,Eric Hipwood,1
2023,Gary Rohan,1
2023,Christian Salem,1
2023,Mitch Lewis,1
2023,Todd Marshall,1
2023,Mason Redman,1
2023,Connor Idun,1
2023,Dylan Moore,1
2023,Josh Weddle,1
2023,Jaeger OMeara,1
2023,Brodie Smith,1
2023,Nathan Broad,1
2023,Max Holmes,1
2023,Jake Soligo,1
2023,Jacob Hopper,1
2023,Mattaes Phillipou,1
2023,Daniel Rich,1
2023,Sam Switkowski,1
2023,Mason Wood,1
2023,Nathan Murphy,1
2023,Logan McDonald,1
2023,Jordan Ridley,1
2023,Ben Brown,1
2023,Dane Rampe,1
2017,Dustin Martin,36
2017,Patrick Dangerfield,33
2017,Tom Mitchell,25
2017,Josh Kennedy,13
2017,Lance Franklin,22
2017,Josh Kelly,21
2017,Rory Sloane,20
2017,Marcus Bontempelli,19
2017,Ollie Wines,18
2017,Dayne Beams,17
2017,Luke Parker,16
2017,Scott Pendlebury,15
2017,Nat Fyfe,15
2017,Zach Merrett,15
2017,Brad Ebert,15
2017,Lachie Neale,14
2017,Dayne Zorko,14
2017,Gary Ablett,14
2017,Dyson Heppell,14
2017,Ben Brown,14
2017,Sebastian Ross,14
2017,Steele Sidebottom,14
2017,Taylor Adams,14
2017,Joel Selwood,13
2017,Robbie Gray,12
2017,Clayton Oliver,12
2017,Jack Steven,11
2017,Jack Billings,11
2017,Bryce Gibbs,11
2017,Adam Treloar,11
2017,Matt Crouch,11
2017,David Zaharakis,11
2017,Dylan Shiel,11
2017,Callan Ward,11
