Player,Team,Round 0,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21
NICK DAICOS,CW,0.072860144,0.81113654,0.9399107,0.0,0.66803694,0.8440136,0.948038,0.9169197,0.7114474,0.4318072,0.70102745,0.9261154,0.8846075,0.4499419,0.0,0.88848615,0.91779405,0.93915707,0.2537341,0.93389475,0.94218504,0.28166208
NOAH ANDERSON,GC,0.0,0.9372298,0.0,0.9405178,0.5620083,0.8242593,0.700535,0.21040286,0.12783417,0.688916,0.93798655,0.9201939,0.880661,0.060227137,0.0,0.9442511,0.74737376,0.9282327,0.9274156,0.062883206,0.9291441,0.94353783
TOM GREEN,GW,0.0,0.90334004,0.0,0.59387046,0.9555661,0.8979563,0.704148,0.39821735,0.8554229,0.9482533,0.21252409,0.61042386,0.918385,0.6095807,0.8287996,0.94181705,0.0,0.88863295,0.58035034,0.9497199,0.36914238,0.07127758
CALEB SERONG,FR,0.0,0.18097354,0.12514144,0.9246098,0.9402748,0.91262984,0.4150373,0.75569504,0.053262576,0.1740569,0.9325136,0.8941223,0.8524536,0.0,0.95152617,0.9555664,0.32519436,0.030069003,0.90767837,0.9332959,0.6691469,0.45988652
TOM LIBERATORE,WB,0.0,0.9053211,0.9075691,0.9107209,0.4088162,0.16101055,0.8558848,0.8122961,0.07368732,0.88868445,0.9419434,0.76730245,0.0,0.023174878,0.8373972,0.648311,0.087155454,0.9396629,0.546111,0.6119511,0.11088928,0.8090166
ED RICHARDS,WB,0.0,0.93171173,0.32975027,0.25134668,0.16662121,0.5900384,0.5894565,0.8770666,0.9532572,0.70151913,0.8776413,0.9166613,0.0,0.17441528,0.8960047,0.8848336,0.09536856,0.626461,0.9219137,0.19318356,0.86769545,0.3415288
ANDREW BRAYSHAW,FR,0.0,0.15007327,0.068486296,0.86599743,0.9013534,0.86901385,0.8887361,0.939205,0.04665953,0.69905484,0.7133234,0.22882661,0.8761781,0.0,0.9363962,0.86980534,0.47856212,0.15311132,0.8633288,0.1807577,0.864029,0.54953086
BAILEY SMITH,GE,0.0,0.9411536,0.0,0.26988927,0.7835958,0.94328576,0.70062286,0.57868546,0.90526646,0.8559229,0.8544302,0.8977464,0.94737065,0.0,0.92136055,0.16539529,0.0,0.0,0.19224581,0.1809177,0.9604671,0.92654186
HUGH MCCLUGGAGE,BL,0.0,0.11235496,0.49702188,0.89268774,0.93894386,0.9132212,0.02881811,0.42811173,0.8900091,0.37072015,0.6735729,0.83149284,0.9491275,0.6625453,0.3614533,0.43871376,0.0,0.918969,0.16489808,0.7643738,0.19868062,0.94150966
JORDAN DAWSON,AD,0.0,0.7969785,0.92035604,0.45862645,0.83934546,0.124986485,0.90772384,0.05990963,0.9179328,0.15198545,0.62410253,0.9363423,0.28234434,0.379651,0.65395594,0.0,0.7439496,0.5419578,0.94296944,0.18805966,0.5713754,0.82194525
