Player,Team,Round 0,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Total Votes
NICK DAICOS,CW,0,3,3,0,0,3,3,2,2,0,3,3,2,0,0,3,2,3,0,2,3,0,37
NOAH ANDERSON,GC,0,3,0,3,0,3,0,0,0,1,3,3,3,0,0,3,0,3,1,0,3,3,32
TOM GREEN,GW,0,3,0,2,3,2,1,0,3,3,0,2,3,1,0,2,0,1,0,3,0,0,29
BAILEY SMITH,GE,0,3,0,0,2,3,3,0,3,1,2,0,3,0,2,0,0,0,0,0,3,2,27
CALEB SERONG,FR,0,0,0,3,3,2,0,2,0,0,2,3,1,0,3,3,0,0,3,1,1,0,27
HUGH MCCLUGGAGE,BL,0,0,0,3,3,2,0,0,2,0,0,1,3,2,0,0,0,3,0,1,0,2,22
ANDREW BRAYSHAW,FR,0,0,0,2,2,1,2,3,0,0,1,0,2,0,2,1,1,0,2,0,3,0,22
JORDAN DAWSON,AD,0,1,2,0,2,0,3,0,2,0,1,3,0,0,2,0,1,0,2,0,0,2,21
ISAAC HEENEY,SY,0,1,0,0,0,0,1,0,0,0,3,0,0,3,0,3,2,1,0,3,0,2,19
TOM LIBERATORE,WB,0,2,2,3,0,0,2,1,0,3,3,0,0,0,0,0,0,2,0,0,0,1,19
JEREMY CAMERON,GE,0,2,0,0,0,0,0,0,0,0,3,2,2,0,1,0,0,2,0,3,2,1,18
MAX HOLMES,GE,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,3,0,2,1,3,18
ZAK BUTTERS,PA,0,0,0,0,0,3,3,2,0,2,0,0,0,3,1,0,0,0,3,0,0,0,17
JOSH DAICOS,CW,0,0,0,0,2,0,2,0,0,0,2,1,0,3,0,1,1,0,3,0,2,0,17
GEORGE HEWETT,CA,0,0,2,0,3,2,3,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,16
TIM TARANTO,RI,0,2,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0,0,3,3,0,0,16
ED RICHARDS,WB,0,3,0,0,0,0,0,2,3,2,2,1,0,0,2,1,0,0,0,0,0,0,16
LACHIE NEALE,BL,0,0,3,0,2,0,0,3,0,0,0,2,0,0,0,0,0,1,3,0,0,1,15
PATRICK CRIPPS,CA,0,1,0,0,0,1,0,3,0,3,1,1,0,0,0,0,0,0,0,3,0,2,15
JAI NEWCOMBE,HW,0,0,3,0,0,0,2,2,2,0,0,0,0,3,0,0,1,1,0,0,0,0,14
WILL ASHCROFT,BL,0,0,0,1,1,0,0,2,3,0,0,0,1,3,0,0,0,0,0,3,0,0,14
CHAD WARNER,SY,0,0,3,0,0,0,0,0,2,1,2,0,0,1,0,0,0,2,1,2,0,0,14
IZAK RANKINE,AD,0,2,0,3,0,0,2,0,3,0,0,1,0,0,0,0,0,3,0,0,0,0,14
CONNOR ROZEE,PA,0,0,3,0,0,2,2,1,0,3,0,0,0,2,0,0,1,0,0,0,0,0,14
CHRISTIAN PETRACCA,ME,0,0,0,0,0,0,1,3,3,0,3,0,0,0,0,0,2,0,2,0,0,0,14
JOSH DUNKLEY,BL,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,2,0,0,13
FINN CALLAGHAN,GW,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,2,3,0,13
RILEY THILTHORPE,AD,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,3,13
JAMIE ELLIOTT,CW,0,0,0,0,0,0,0,3,0,2,0,2,3,0,0,0,0,2,0,0,0,0,12
NASIAH WANGANEEN-MILERA,SK,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,3,3,12
MATT ROWELL,GC,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,2,12
