player,player_id,team,opponent,round,kicks,marks,handballs,disp,goals,behinds,hit_outs,tackles,rebounds,inside_50,clearances,clangers,frees_for,frees_against,brownlow,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists,pct_time_played,year,game_id,game_type,day,home_team,away_team,venue,home_goals,home_behinds,home_total,away_goals,away_behinds,away_total,date,home_team_code,away_team_code,margin,past_votes,disposals,disposals_per_time,goals_x_clearances,contested_possessions_x_tackles,clangers_x_frees_against,marks_inside_50_x_contested_marks,goal_assists_x_inside_50,clearance_efficiency,tackles_clangers_ratio,score_involvement,margin_x_past_votes,rebounds_x_one_percenters,vote_probability,adjusted_round
JOEL AMARTEY,12844,SY,CA,1,6,4,1,7,3,1,2,1,0,2,0,2,2,0,0,3,4,0,3,3,0,0,75,2026,16839,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20,12,132,10,9,69,2026-03-05,SY,CA,0.4772727272727273,0,7,0.09333333333333334,0,3,0,0,0,0.0,0.5,3,0.0,0,0.040042188,0
RILEY BICE,13195,SY,CA,1,11,5,5,16,0,0,0,3,1,1,0,5,1,2,0,6,8,0,0,4,3,1,86,2026,16839,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20,12,132,10,9,69,2026-03-05,SY,CA,0.4772727272727273,0,16,0.18604651162790697,0,18,10,0,1,0.0,0.6,1,0.0,4,0.0860606,0
NICK BLAKEY,12699,SY,CA,1,12,3,9,21,0,0,0,1,4,5,0,6,0,2,0,5,15,0,0,4,4,1,88,2026,16839,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20,12,132,10,9,69,2026-03-05,SY,CA,0.4772727272727273,7,21,0.23863636363636365,0,5,12,0,5,0.0,0.16666666666666666,1,3.340909090909091,16,0.23145452,0
CHARLIE CURNOW,12421,SY,CA,1,10,3,0,10,3,2,0,2,0,1,0,2,2,1,0,4,6,1,2,2,0,0,77,2026,16839,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20,12,132,10,9,69,2026-03-05,SY,CA,0.4772727272727273,1,10,0.12987012987012986,0,8,2,2,0,0.0,1.0,3,0.4772727272727273,0,0.0830565,0
BRODIE GRUNDY,12217,SY,CA,1,5,2,11,16,1,0,46,4,2,3,3,5,1,2,0,6,10,2,0,5,0,0,79,2026,16839,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20,12,132,10,9,69,2026-03-05,SY,CA,0.4772727272727273,6,16,0.20253164556962025,3,24,10,0,0,0.5,0.8,1,2.8636363636363638,10,0.18736008,0
ERROL GULDEN,12862,SY,CA,1,16,3,11,27,0,2,0,11,2,8,5,6,1,0,0,8,17,0,0,0,1,3,82,2026,16839,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20,12,132,10,9,69,2026-03-05,SY,CA,0.4772727272727273,6,27,0.32926829268292684,0,88,0,0,24,0.625,1.8333333333333333,3,2.8636363636363638,0,0.7637476,0
ISAAC HEENEY,12326,SY,CA,1,10,3,10,20,2,0,0,8,0,5,6,6,1,2,0,10,8,0,1,1,0,0,77,2026,16839,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20,12,132,10,9,69,2026-03-05,SY,CA,0.4772727272727273,17,20,0.2597402597402597,12,80,12,0,0,0.6,1.3333333333333333,2,8.113636363636363,0,0.7155072,0
JAMES JORDON,12860,SY,CA,1,7,4,9,16,0,0,0,2,3,1,1,3,0,1,0,5,10,0,0,0,1,0,79,2026,16839,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20,12,132,10,9,69,2026-03-05,SY,CA,0.4772727272727273,0,16,0.20253164556962025,0,10,3,0,0,0.2,0.6666666666666666,0,0.0,0,0.039052352,0
JAKE LLOYD,12268,SY,CA,1,8,6,10,18,0,0,0,0,2,2,0,2,0,0,0,5,12,0,2,2,0,1,82,2026,16839,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20,12,132,10,9,69,2026-03-05,SY,CA,0.4772727272727273,0,18,0.21951219512195122,0,0,0,0,2,0.0,0.0,1,0.0,4,0.05857105,0
TOM MCCARTIN,12627,SY,CA,1,3,4,14,17,0,0,0,0,3,0,2,3,0,0,0,5,12,0,0,11,0,0,94,2026,16839,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20,12,132,10,9,69,2026-03-05,SY,CA,0.4772727272727273,0,17,0.18085106382978725,0,0,0,0,0,0.4,0.0,0,0.0,33,0.04911785,0
LOGAN MCDONALD,12861,SY,CA,1,4,2,7,11,1,0,0,2,0,1,2,4,2,1,0,4,7,1,1,0,0,0,69,2026,16839,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20,12,132,10,9,69,2026-03-05,SY,CA,0.4772727272727273,1,11,0.15942028985507245,2,8,4,1,0,0.5,0.5,1,0.4772727272727273,0,0.02945285,0
JUSTIN MCINERNEY,12711,SY,CA,1,16,5,15,31,3,1,0,3,0,6,2,3,1,1,0,7,23,1,1,1,0,2,88,2026,16839,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20,12,132,10,9,69,2026-03-05,SY,CA,0.4772727272727273,0,31,0.3522727272727273,6,21,3,1,12,0.2857142857142857,1.0,5,0.0,0,0.89690626,0
LEWIS MELICAN,12526,SY,CA,1,4,1,3,7,0,0,0,1,0,2,0,1,2,0,0,3,4,0,0,4,0,0,85,2026,16839,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20,12,132,10,9,69,2026-03-05,SY,CA,0.4772727272727273,0,7,0.08235294117647059,0,3,0,0,0,0.0,1.0,0,0.0,0,0.024666987,0
